1,1,"Florian Brosch",7,0,maintainer
2,2,"Luca Bruno",5,,co-maintainer
4,2,"Evan Nemerson",6,12,binding-maintainer
5,3,"Thomas Seidl",5,7,maintainer
6,4,"Martin Reiterer",5,6,"head of development, architect"
11,5,"Kilian Matt",2,7,developer
12,5,"Steffen Pingel",,,
13,5,"Gerrit Code Review @ Eclipse.org",,,
14,6,"Mark Struberg",5,30,"developer, architect"
17,2,"Jürg Billeter",,,
19,2,"Jaap A. Haitsma",,,
